time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),cloud_cover (%),surface_pressure (hPa)
2023-01-01T00:00,25.5,82,0.1,25.7,100,1013.7
2023-01-01T01:00,25.5,82,0,28.3,98,1014.4
2023-01-01T02:00,25.5,82,0,31.9,100,1014.3
2023-01-01T03:00,25.5,81,0,30.8,70,1014.5
2023-01-01T04:00,25.7,79,0,36,98,1013.8
2023-01-01T05:00,25.5,81,0,36.9,100,1012.8
2023-01-01T06:00,25.5,81,0,40.9,100,1011.5
2023-01-01T07:00,25.4,82,0,36.8,100,1010.4
2023-01-01T08:00,25.5,82,0,39.5,100,1009.8
2023-01-01T09:00,25.6,83,0,37.2,100,1010
2023-01-01T10:00,25.5,84,0,35.8,100,1010.3
2023-01-01T11:00,25.8,81,0,37,100,1010.9
2023-01-01T12:00,25.7,82,0,33,100,1012.1
2023-01-01T13:00,25.5,84,0.1,31.4,100,1013
2023-01-01T14:00,25.6,82,0.3,34.9,100,1013.6
2023-01-01T15:00,25.6,84,0.1,32.2,100,1013.8
2023-01-01T16:00,25.6,85,0,29.3,100,1013.6
2023-01-01T17:00,25.4,85,0.1,31.7,100,1013.3
2023-01-01T18:00,25.6,83,0,32.4,100,1012.5
2023-01-01T19:00,25.3,86,0.1,29,99,1011.7
2023-01-01T20:00,25.1,87,0.2,26.3,100,1011.4
2023-01-01T21:00,25.4,85,0.2,25.5,100,1011.4
2023-01-01T22:00,25.5,83,0.1,26.8,100,1011.9
2023-01-01T23:00,25.4,83,0.6,27.8,100,1012.6
2023-01-02T00:00,25,84,0.1,21.3,98,1013.9
2023-01-02T01:00,25.2,83,0,25.4,99,1014.1
2023-01-02T02:00,25.5,84,0,27.9,100,1014.7
2023-01-02T03:00,25.4,87,0,26,100,1014.7
2023-01-02T04:00,25.5,85,0,28.5,100,1013.7
2023-01-02T05:00,25.6,86,0,29.6,86,1013
2023-01-02T06:00,25.4,87,0,29.9,100,1012.3
2023-01-02T07:00,25.5,87,0,29,100,1011.6
2023-01-02T08:00,25.4,88,0,31.4,100,1010.9
2023-01-02T09:00,25.5,87,0,33.7,100,1010.8
2023-01-02T10:00,25.5,87,0,35.3,100,1011.1
2023-01-02T11:00,25.8,86,0,38.8,100,1011.8
2023-01-02T12:00,25.8,86,0,29.7,100,1012.1
2023-01-02T13:00,25.8,87,0,27.4,100,1012.6
2023-01-02T14:00,25.7,88,0,30.8,100,1013.4
2023-01-02T15:00,25.7,87,0,29.8,100,1013.6
2023-01-02T16:00,25.8,86,0,31.8,100,1013.4
2023-01-02T17:00,25.8,86,0,35.5,100,1013.4
2023-01-02T18:00,25.6,88,0,34.7,100,1012.6
2023-01-02T19:00,25.5,88,0,33.4,99,1012.2
2023-01-02T20:00,25.5,88,0,32.2,100,1011.6
2023-01-02T21:00,25.5,88,0,27.5,98,1011.3
2023-01-02T22:00,25.5,87,0.2,34.6,100,1011.6
2023-01-02T23:00,25.5,87,0.2,34,100,1012.1
2023-01-03T00:00,25.6,87,0.3,30.5,100,1012.4
2023-01-03T01:00,26,86,0,28,100,1013.5
2023-01-03T02:00,26.2,83,0,31.1,100,1013.8
2023-01-03T03:00,26,85,0.1,34.5,100,1013.7
2023-01-03T04:00,25.9,84,1,35.8,100,1013.3
2023-01-03T05:00,25.5,84,0.7,38.5,100,1012.8
2023-01-03T06:00,26,83,0.7,35.2,100,1012.1
2023-01-03T07:00,25.8,84,0.3,33.5,100,1010.9
2023-01-03T08:00,25.9,83,0.8,33.7,100,1010.3
2023-01-03T09:00,25.6,87,0,32.5,100,1009.7
2023-01-03T10:00,25.6,86,0,34.7,100,1010.4
2023-01-03T11:00,25.5,87,0,32.3,100,1011
2023-01-03T12:00,26,86,0,29.9,100,1011.3
2023-01-03T13:00,26.2,83,0.2,35.6,100,1012.4
2023-01-03T14:00,25.8,83,0.3,38.4,100,1013.5
2023-01-03T15:00,26.2,83,0,33.4,100,1013.2
2023-01-03T16:00,26,86,0,31.3,100,1012.7
2023-01-03T17:00,25.9,86,0,29.5,100,1012.7
2023-01-03T18:00,25.8,87,0,34.6,100,1012
2023-01-03T19:00,25.6,88,0,36.2,100,1011.3
2023-01-03T20:00,25.5,87,0,36.4,100,1010.7
2023-01-03T21:00,25.5,88,0,36.7,100,1010.5
2023-01-03T22:00,25.5,86,0,39.1,100,1010.7
2023-01-03T23:00,25.6,86,0.2,35.1,100,1011
2023-01-04T00:00,25.8,84,0.2,36.6,100,1011.7
2023-01-04T01:00,25.8,85,0,39.3,100,1012.5
2023-01-04T02:00,25.8,85,0,39.5,100,1012.5
2023-01-04T03:00,25.9,85,0,38.4,100,1012.6
2023-01-04T04:00,25.8,86,0,37.9,100,1012.4
2023-01-04T05:00,25.5,88,0,37.1,100,1011.9
2023-01-04T06:00,25.4,86,0.2,38.1,100,1010.9
2023-01-04T07:00,25.4,85,0.5,39.2,100,1010.1
2023-01-04T08:00,25.8,82,1.1,43.9,100,1009.3
